district_name,district_id,District,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2007 Total Recapture,2008 Total Recapture,2009 Total Recapture,2010 Total Recapture,2011 Total Recapture,2012 Total Recapture,2013 Total Recapture,2014 Total Recapture,2015 Total Recapture,2016 Total Recapture
CAYUGA ISD,1902,1902,620180,1217909,1720416,1170514,976413,908279,468419,465374,273689,236506,0,0,185574,0,0,0,0,0,0,0
ANDREWS ISD,2901,2901,2341992,6874532,5459088,9737358,2266402,4070099,0,1666889,0,10764583,20101479,18498412,23369258,16541476,14740834,20270429,26003658,31778268,38138662,28299777
ARANSAS COUNTY ISD,4901,4901,2823073,7500467,7796608,5882557,6051117,6063506,3337436,3065237,2561089,2285034,4888042,6639488,9056075,5209769,5822986,6318582,5306518,4468529,4457205,3982522
ARCHER CITY ISD,5901,5901,677559,1024195,1101053,689787,718556,506503,49778,0,544750,1842241,0,0,0,0,0,0,0,0,866420,319444
CHARLOTTE ISD,7901,7901,440237,744647,709004,245916,159265,8323,0,0,0,0,0,0,0,0,0,0,0,0,0,14160
JOURDANTON ISD,7902,7902,424455,1777159,1785475,483062,247202,420128,0,0,0,0,0,0,0,0,0,0,0,0,0,139076
PLEASANTON ISD,7905,7905,1081019,3160694,3003119,45069,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BELLVILLE ISD,8901,8901,797284,2649085,1788208,505571,339281,583609,0,0,0,0,0,0,0,0,0,0,0,31210,31310,81780
SEALY ISD,8902,8902,1284038,4666042,3905243,2517838,3109308,2587724,1065722,653801,369426,0,0,0,0,0,0,0,0,0,0,0
BRAZOS ISD,8903,8903,1445861,855856,1613508,766668,379111,612119,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MEDINA ISD,10901,10901,285905,715975,663270,219475,143856,131792,18658,0,0,0,0,0,0,0,0,0,26264,30536,28810,0
BANDERA ISD,10902,10902,1519640,3021503,3231402,1186748,1104189,1488712,419978,181795,0,0,0,0,0,19476,40996,71993,75548,76593,91834,0
PAWNEE ISD,13902,13902,265862,545987,311818,421902,743857,442267,159981,0,0,270910,1120838,877861,1037625,1039697,606762,418517,504443,989713,2496046,2690219
PETTUS ISD,13903,13903,223114,612575,38024,299773,10934,197686,0,0,0,0,0,0,0,0,0,0,0,0,0,1265318
SALADO ISD,14908,14908,1161611,1995836,1857231,1058197,1116019,910467,340695,40802,0,0,0,0,0,11647,15943,38228,38830,21029,18159,0
ALAMO HEIGHTS ISD,15901,15901,3006644,7504551,8271680,5283148,5885662,5558797,2432360,1579290,1148684,0,28040436,23457045,26877065,24294266,23676669,24714497,23298691,23649229,26028337,29004170
NORTH EAST ISD,15910,15910,43856771,83592077,92407208,50666276,53537703,50268106,13477403,0,0,0,0,0,0,0,0,0,0,0,0,0
JOHNSON CITY ISD,16901,16901,733887,1960186,2105301,1336637,1461209,1466401,690537,509552,252713,256176,0,152361,557853,92644,104374,304724,119366,121694,144667,237056
BLANCO ISD,16902,16902,960632,2201534,2350528,2053896,1957780,1840155,1215003,986516,735414,553620,0,0,192838,119489,228648,278414,263271,263409,293505,0
BORDEN COUNTY ISD,17901,17901,417559,1322305,1185579,911096,2285258,1630509,0,1242137,368766,1427527,4807291,4198982,4883927,5137963,4303163,4028647,4260804,4242957,4262968,4049697
CLIFTON ISD,18901,18901,591210,1296423,1339013,83119,0,390060,0,0,0,0,0,0,0,0,0,0,0,0,52073,0
IREDELL ISD,18906,18906,83437,139464,131460,0,20395,0,0,0,0,0,0,0,0,0,0,0,0,0,4171,0
CRANFILLS GAP ISD,18908,18908,89192,157991,139526,55402,9837,25324,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MALTA ISD,19910,19910,75379,141232,118832,26262,24387,24523,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RED LICK ISD,19911,19911,391559,448358,500332,459280,492227,504315,321305,202092,205101,0,0,0,0,0,0,0,0,0,0,0
PLEASANT GROVE ISD,19912,19912,1290290,2793878,2920440,926657,1017612,1030228,254628,0,0,0,0,0,0,0,15617,47807,19738,12942,7231,0
ANGLETON ISD,20902,20902,4293938,9435935,8633020,5802734,5337206,2491274,0,0,0,0,0,0,20008,52104,0,0,0,0,0,0
BRAZOSPORT ISD,20905,20905,8267644,20073012,17171950,14411142,12976570,8857822,812828,0,0,0,12373223,7901992,10123233,1502310,1228315,1221560,1079058,1123862,1321025,0
SWEENY ISD,20906,20906,1446690,4072699,3744453,3311576,2963289,2431335,226984,0,145962,0,9096145,6633378,6257901,3223635,2103962,1703279,1086800,936862,1438003,1139787
COLLEGE STATION ISD,21901,21901,6235855,14707577,15598691,7451569,8565082,8093151,2284852,1093568,0,0,9931085,5923586,8355613,0,990185,4424214,2640772,0,0,0
MARATHON ISD,22902,22902,83216,188160,164906,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SILVERTON ISD,23902,23902,280948,404009,355860,128171,196796,64402,17458,0,0,0,0,0,0,0,0,0,0,0,0,0
BROOKS COUNTY ISD,24901,24901,1403430,6594502,5046058,4525400,4290143,4473012,2965433,3126896,701556,2346257,1125256,2252965,1073216,116696,84104,63727,7793,0,0,0
MAY ISD,25905,25905,263545,486751,449095,297541,174768,233167,125389,96773,0,0,0,0,0,0,0,16994,15711,8702,0,0
BROOKESMITH ISD,25908,25908,109940,220359,218560,34477,0,20368,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CALDWELL ISD,26901,26901,688793,3324952,2230966,1197844,321865,930060,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BURNET CISD,27903,27903,1526122,3430522,3615626,1021418,1632817,1445158,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MARBLE FALLS ISD,27904,27904,2995165,6371637,5356525,3370307,4094626,4690862,1462032,1541248,584104,0,3262031,2422646,5138036,2663200,3864796,5223555,4403364,3378213,3228076,2030448
PRAIRIE LEA ISD,28906,28906,357045,512263,391268,583621,390700,424225,48474,117700,0,420421,0,0,0,0,0,0,0,46594,124079,160510
CALHOUN COUNTY ISD,29901,29901,2847097,6561925,6617632,6807235,6932576,1858265,0,331890,0,930893,24155802,18873075,18472682,11799733,8034455,6157587,7705650,8835331,9523127,8771045
EULA ISD,30906,30906,162250,412807,181363,0,67687,54663,0,0,0,0,0,0,0,3325,15017,32211,34639,36762,13864,12270
POINT ISABEL ISD,31909,31909,2396036,3828382,4413513,4065516,2366642,3199923,1189201,1387596,1367620,1015632,14877330,14248423,19064616,16832632,17400195,18526381,18141583,17193467,16719512,15470642
GROOM ISD,33901,33901,88131,372128,292502,142291,167272,213177,6746,0,0,0,0,0,0,0,0,0,0,0,1213,0
PANHANDLE ISD,33902,33902,750431,2317236,1289836,0,1016220,2180632,321782,156153,0,0,0,0,0,0,401996,502380,0,0,0,237525
WHITE DEER ISD,33904,33904,524972,1156674,779109,916308,642139,786750,220659,218970,0,0,2111318,1575229,1647456,1176380,946163,1091648,705294,717109,745054,1323474
ANAHUAC ISD,36901,36901,897014,1997950,1218344,563867,137134,220262,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BARBERS HILL ISD,36902,36902,2736030,9127971,10628942,10474131,9232527,4535454,258147,4134912,576137,1294371,14305736,12109321,13888259,7411879,4900367,4544753,9135240,10718600,10718895,14504981
MIDWAY ISD,39905,39905,87732,259893,190345,147480,73741,65766,0,35873,0,90225,0,0,0,0,0,0,0,0,0,0
WHITEFACE CISD,40902,40902,569138,2805894,1473367,2187087,742274,1336327,419494,1697122,1222803,2642731,2853882,4010573,4420658,3886416,4455401,5692546,6185492,5855913,5226889,3117723
ROBERT LEE ISD,41902,41902,234717,733143,300283,0,998101,616527,109917,72540,41013,529495,0,0,0,0,798483,672764,257735,456215,0,0
PANTHER CREEK CISD,42905,42905,99834,267800,160118,22978,0,128601,0,0,0,0,0,0,0,0,0,7832,3992,8138,11286,10036
,42906,42906,118195,207578,135765,52878,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALLEN ISD,43901,43901,7323562,12790559,19922222,6606778,8221950,7960825,0,0,0,0,0,0,0,0,0,587662,322116,415484,760266,1119419
FRISCO ISD,43905,43905,16262595,41301578,52373379,47644079,59825182,52461652,32484762,30080175,16613778,0,14538253,6520880,13429959,2065718,1628348,1491265,1429786,888917,1217729,0
MCKINNEY ISD,43907,43907,14519271,29840003,37121355,20228630,21450849,19346581,7988016,0,0,0,0,0,0,0,0,0,0,0,295455,985594
PLANO ISD,43910,43910,39655230,82712296,83577516,48135461,42826410,44510998,542840,0,0,0,127645786,80992328,89344707,33623548,24037969,40685155,30364365,34499727,45231695,59446594
PROSPER ISD,43912,43912,3558816,6967659,9395165,9874868,11688660,11597210,8501125,8331829,6395200,3413103,0,142687,1689840,301888,116881,186798,0,0,0,0
LOVEJOY ISD,43919,43919,3389010,7034214,8950485,8930567,9714446,9224065,7538428,6623457,5645387,5226873,3901209,1573257,1438573,0,0,0,0,0,0,0
,44904,44904,135039,399763,306463,148448,177162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COLUMBUS ISD,45902,45902,1183274,1874409,1996265,969628,552398,516689,0,0,0,0,0,0,0,19389,24600,50538,59606,65469,79322,0
RICE CISD,45903,45903,687943,2213340,2420348,1287073,1704977,1375621,0,0,0,0,0,0,0,4394,0,0,0,0,0,0
WEIMAR ISD,45905,45905,629572,932310,1084151,624575,591858,388132,211018,67498,0,0,0,0,0,0,0,0,1014,347,0,0
NEW BRAUNFELS ISD,46901,46901,3099319,7893279,6311887,3829024,4196779,3252764,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COMAL ISD,46902,46902,9489066,20755911,20537879,18833975,22185770,23753875,8172047,6414922,0,0,6483040,4937417,10678475,7490128,7365017,8257657,0,0,0,0
EDEN CISD,48901,48901,351483,501032,424817,445782,204616,31434,0,70612,0,81217,0,0,0,0,0,0,0,0,0,0
PAINT ROCK ISD,48903,48903,130463,252652,222070,45711,24124,46890,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MUENSTER ISD,49902,49902,322074,299233,251672,0,1153215,236591,0,0,0,90616,0,0,0,32289,843454,38069,40751,271524,45198,0
CALLISBURG ISD,49905,49905,1046988,2664633,2435701,1751298,1667840,1539935,662968,433824,302120,360344,0,0,0,2888,2038,8030,6103,6217,17270,19771
LINDSAY ISD,49907,49907,623829,1089694,1023696,460362,365472,388738,0,0,22697,346098,0,0,0,0,7905,5955,17557,86002,740690,685160
WALNUT BEND ISD,49908,49908,28939,207483,5779,201375,123446,69136,0,42821,8148,89504,0,0,0,0,0,0,0,0,0,0
SIVELLS BEND ISD,49909,49909,116466,223718,155128,160681,112530,112739,77763,50139,47720,106196,485743,386618,482703,430268,399449,515461,560948,533590,582180,526168
JONESBORO ISD,50909,50909,120931,218682,184369,50140,55183,48112,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PADUCAH ISD,51901,51901,136080,665416,430984,167233,461780,367036,74057,44195,0,0,0,0,0,0,2382,0,0,0,0,0
CRANE ISD,52901,52901,2817787,6100036,5132507,5552931,4341616,5234634,2553057,4387069,4825141,4840868,12993712,11297893,13636139,12406635,12699867,13299930,14916904,15299626,13196746,10312075
CROCKETT COUNTY CONSOLIDATED C,53001,53001,748848,3706137,2403545,2620825,2183079,2509442,1088974,1466734,25282,2306531,20208023,15217985,18157069,16593936,16498227,14360370,13699557,12988616,14582894,12355887
LORENZO ISD,54902,54902,374614,528396,307298,270308,125600,13114,0,0,0,312601,0,0,0,0,0,0,0,0,0,0
CULBERSON COUNTY-ALLAMOORE ISD,55901,55901,841229,1015074,1163523,411384,555018,470212,0,0,0,0,0,0,0,0,0,0,0,0,149924,2813357
TEXLINE ISD,56902,56902,87736,166613,201533,0,17588,0,0,0,0,0,0,0,0,0,0,0,0,16668,27972,8520
CARROLLTON-FARMERS BRANCH ISD,57903,57903,19634573,45848807,49774861,20738927,26162306,19934255,3297530,0,0,0,27604728,12845311,18986925,0,0,0,0,0,0,0
DALLAS ISD,57905,57905,120185510,255912816,259345159,147995471,152879729,123036819,22904940,0,0,0,0,0,0,0,0,0,0,0,0,0
HIGHLAND PARK ISD,57911,57911,5131894,9957596,9259035,7867650,9534060,8598935,5048674,3081953,1549912,575063,78207035,64599594,71988604,72471625,70985369,68999544,68771904,68951599,75165751,82155210
RICHARDSON ISD,57916,57916,24269414,51094036,44624689,25336336,25776749,21873129,1124796,0,0,0,35199972,12389322,7565940,0,0,0,0,0,0,0
SUNNYVALE ISD,57919,57919,462134,1621994,1812142,1307551,1558780,2066019,912916,1043987,1143570,482373,2882234,1769649,1628815,281019,165308,823675,80724,0,0,0
COPPELL ISD,57922,57922,6928668,14093341,13969015,8805512,8333541,8149875,0,0,0,0,35923192,26672898,31702059,23259131,23425003,22706350,18500714,17367106,20778622,23515723
DAWSON ISD,58902,58902,239487,830401,314945,748535,270993,524029,235841,512904,234282,843589,1111801,927846,1198157,1132943,1180423,1321784,1262035,1065646,925968,573558
KLONDIKE ISD,58905,58905,216706,826911,634515,744112,288721,528402,0,430591,294599,957264,2323461,1913186,2574254,2588453,3409403,4694225,7993249,9462493,10659011,8460165
SANDS CISD,58909,58909,218513,866400,459363,428637,0,0,0,0,0,711758,163323,265698,333895,480235,1045283,3382262,6854457,8226989,10078562,6852881
WALCOTT ISD,59902,59902,415772,300070,354067,263671,285973,264159,185866,206230,233193,139347,0,0,0,0,0,0,0,0,0,0
DENTON ISD,61901,61901,15694207,34581378,43932938,23089565,27689640,24556745,11529927,5711303,0,0,0,0,0,0,0,0,0,0,0,0
LEWISVILLE ISD,61902,61902,31409170,74977143,77935620,40183568,48395738,35080174,12915214,0,0,0,0,0,0,0,0,0,0,0,0,0
KRUM ISD,61905,61905,1578826,4721579,4831332,4150985,3421003,4334828,3452375,2660039,1915406,2530105,0,0,89667,0,0,0,0,0,0,0
PONDER ISD,61906,61906,980038,4404143,3734590,2744533,3400523,3729516,2899462,3074104,2077709,1664572,3025060,2680176,2611308,1757226,1848516,1528281,868041,0,0,0
ARGYLE ISD,61910,61910,1207211,3049264,2936764,1869492,2499139,2089687,1311945,1044324,315488,0,990946,847473,1894919,0,0,580553,459636,132108,125715,140358
NORTHWEST ISD,61911,61911,8138018,23136881,26970355,18868858,29369890,27616397,20949725,22322426,8951376,8217000,35009219,28132904,33940599,25367292,23269191,19679571,9310199,0,0,0
CUERO ISD,62901,62901,1816166,3626149,2943486,1516219,2090939,1191105,0,0,0,4706648,0,0,0,0,0,0,0,11878,655466,5237262
NORDHEIM ISD,62902,62902,246903,1005,63820,0,186780,0,0,0,0,0,0,0,188872,467340,111787,276274,774180,2876094,5650215,6982129
YOAKUM ISD,62903,62903,510146,1726425,1209763,406633,359357,77758,0,0,0,1588525,0,0,0,0,0,0,0,0,200109,0
YORKTOWN ISD,62904,62904,569951,967360,825283,61722,206485,0,0,0,0,0,0,0,0,0,0,0,0,8685545,19111026,18396189
WESTHOFF ISD,62905,62905,34259,92443,132929,0,66770,0,0,0,0,0,0,0,0,0,0,0,1316965,14834666,12536892,12188031
MEYERSVILLE ISD,62906,62906,86943,514200,314621,484002,505178,393887,164841,95942,90780,0,0,0,0,0,0,0,0,0,0,0
SPUR ISD,63903,63903,448715,866126,557430,76396,1671986,1184613,318882,796469,353292,1132146,0,127026,639221,800976,891810,317440,0,0,0,0
CARRIZO SPRINGS CISD,64903,64903,818771,2087870,2672809,180176,0,0,0,0,0,0,0,0,0,0,0,0,0,19344559,49771815,46079572
RAMIREZ CSD,66005,66005,22479,76224,33183,0,0,15591,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BENAVIDES ISD,66901,66901,359412,1251603,411674,1177205,1082307,912681,576799,217561,185379,302183,0,0,0,178018,0,0,0,0,0,0
FREER ISD,66903,66903,413256,1896997,0,1395524,1228719,1454705,19796,184557,0,185122,0,0,0,0,0,0,0,0,0,0
CISCO ISD,67902,67902,1112770,855953,2529169,1756259,1263251,1185471,812980,257927,198914,0,0,0,0,0,2384,67430,75755,181768,236424,285572
