STATE,GISJOIN,children_2006,marriages_2006,rate_2006,children_2011,marriages_2011,rate_2011
West Virginia,G540,66479,562,8.5,66459,623,9.4
Nevada,G320,111213,907,8.2,110611,920,8.3
Arkansas,G050,118528,759,6.4,118256,987,8.3
Texas,G480,1136215,8723,7.7,1148720,8726,7.6
District of Columbia,G110,15953,120,7.5,15641,113,7.2
Iowa,G190,122452,659,5.4,122057,878,7.2
Tennessee,G470,253095,1573,6.2,253812,1795,7.1
California,G060,1607621,10247,6.4,1584501,10869,6.9
Florida,G120,707950,4479,6.3,708586,4722,6.7
Georgia,G130,413527,2372,5.7,415320,2772,6.7
Virginia,G510,314506,1910,6.1,313323,2076,6.6
Mississippi,G280,124851,691,5.5,123514,789,6.4
Hawaii,G150,49254,388,7.9,48720,295,6.1
Illinois,G170,533703,2711,5.1,526415,3213,6.1
New Hampshire,G330,52823,267,5.1,51787,314,6.1
New Jersey,G340,361668,2040,5.6,358510,2135,6.0
Oregon,G410,147537,803,5.4,147384,877,6.0
Alabama,G010,192831,1033,5.4,192769,1137,5.9
New York,G360,757331,3864,5.1,745373,4417,5.9
Oklahoma,G400,151882,1003,6.6,153287,884,5.8
Maryland,G240,233668,1331,5.7,231576,1354,5.8
Missouri,G290,240455,1134,4.7,239327,1393,5.8
North Carolina,G370,378264,2360,6.2,380379,2177,5.7
Arizona,G040,270053,1670,6.2,271325,1508,5.6
Wyoming,G560,21895,102,4.7,21883,121,5.5
Washington,G530,267909,1564,5.8,267160,1454,5.4
Utah,G490,134431,711,5.3,137630,731,5.3
Michigan,G260,415535,2050,4.9,409994,2178,5.3
Indiana,G180,272683,1252,4.6,272373,1437,5.3
Louisiana,G220,184615,1052,5.7,183584,946,5.2
Colorado,G080,199906,1086,5.4,201146,1052,5.2
North Dakota,G380,25637,135,5.3,25424,132,5.2
New Mexico,G350,84742,440,5.2,84305,435,5.2
Minnesota,G270,215574,870,4.0,214198,1115,5.2
South Dakota,G460,33592,131,3.9,33443,174,5.2
South Carolina,G450,180327,774,4.3,180871,931,5.1
Kentucky,G210,170697,788,4.6,170835,855,5.0
Kansas,G200,118441,480,4.1,118827,593,5.0
Connecticut,G090,148590,817,5.5,147233,707,4.8
Massachusetts,G250,254365,1183,4.7,252645,1195,4.7
Ohio,G390,470940,1882,4.0,468121,2213,4.7
Alaska,G020,30980,119,3.8,30664,141,4.6
Wisconsin,G550,228362,965,4.2,226390,1009,4.5
Pennsylvania,G420,494095,1916,3.9,487424,2208,4.5
Nebraska,G310,74500,327,4.4,74795,318,4.3
Delaware,G100,34682,150,4.3,34417,144,4.2
Idaho,G160,69651,302,4.3,70060,296,4.2
Maine,G230,49117,132,2.7,48530,186,3.8
Rhode Island,G440,40000,80,2.0,39342,148,3.8
Vermont,G500,23689,103,4.3,23474,87,3.7
Montana,G300,37895,152,4.0,37619,134,3.6
Puerto Rico,G720,159215,802,5.0,154060,534,3.5
