GEO.id2,GEO.display-label,respop72010,respop72011,respop72012,respop72013,respop72014,respop72015,respop72016,popchg4201072016,natinc4201072016,births4201072016,deaths4201072016,netmig4201072016,intlmig4201072016,dommig4201072016
48001,"Anderson County, Texas",58482,58350,58019,57894,57725,57487,57734,-724,-299,3664,3963,-341,47,-388
48003,"Andrews County, Texas",14835,15390,16107,16776,17405,18026,17760,2974,1213,1953,740,1740,57,1683
48005,"Angelina County, Texas",86915,87275,87520,87409,87628,87938,87791,1020,2137,7529,5392,-1159,19,-1178
48007,"Aransas County, Texas",23199,23354,23665,24124,24872,25261,25721,2563,-498,1619,2117,2801,87,2714
48009,"Archer County, Texas",9108,8832,8785,8760,8793,8711,8703,-352,-8,458,466,-351,17,-368
48011,"Armstrong County, Texas",1899,1931,1945,1954,1937,1925,1876,-25,-47,125,172,14,30,-16
48013,"Atascosa County, Texas",44963,45486,46455,47078,47787,48435,48797,3886,1675,4158,2483,2210,4,2206
48015,"Austin County, Texas",28378,28589,28547,28709,28973,29548,29758,1347,478,2153,1675,907,206,701
48017,"Bailey County, Texas",7153,7197,7134,7138,6970,7232,7181,16,387,748,361,-402,168,-570
48019,"Bandera County, Texas",20549,20544,20607,20599,20875,21216,21776,1291,-245,1012,1257,1465,67,1398
48021,"Bastrop County, Texas",74326,75050,74738,75850,77899,80208,82733,8574,2017,5919,3902,6347,65,6282
48023,"Baylor County, Texas",3716,3715,3618,3610,3600,3671,3697,-29,-129,237,366,109,0,109
48025,"Bee County, Texas",31883,32318,32448,32773,32884,32673,32750,889,862,2407,1545,109,144,-35
48027,"Bell County, Texas",312985,316111,323105,326620,329348,334812,340411,30167,26926,39499,12573,2714,8731,-6017
48029,"Bexar County, Texas",1723006,1755342,1788530,1822056,1858749,1895482,1928680,213906,91568,168446,76878,119552,31392,88160
48031,"Blanco County, Texas",10510,10578,10641,10652,10836,11067,11392,893,-131,569,700,1005,111,894
48033,"Borden County, Texas",643,628,613,637,653,641,633,-8,8,41,33,-14,0,-14
48035,"Bosque County, Texas",18259,18253,18118,17880,17761,17910,18097,-115,-355,1151,1506,183,4,179
48037,"Bowie County, Texas",92678,92890,93136,93457,93458,93503,93860,1295,1382,7620,6238,-21,408,-429
48039,"Brazoria County, Texas",314502,319258,324373,330091,337777,345661,354195,41068,16135,29538,13403,24329,2915,21414
48041,"Brazos County, Texas",195695,197477,200247,204124,208823,215867,220417,25556,11105,17046,5941,14130,8372,5758
48043,"Brewster County, Texas",9270,9354,9243,9273,9123,9099,9200,-32,234,688,454,-285,-1,-284
48045,"Briscoe County, Texas",1631,1649,1566,1547,1537,1504,1474,-163,-28,80,108,-139,0,-139
48047,"Brooks County, Texas",7202,7218,7189,7238,7233,7212,7214,-9,248,764,516,-248,217,-465
48049,"Brown County, Texas",38116,38026,37852,37853,37719,37981,38271,165,-395,2633,3028,545,162,383
48051,"Burleson County, Texas",17216,17242,17329,17178,17292,17525,17760,573,12,1237,1225,555,134,421
48053,"Burnet County, Texas",42743,43353,43506,43738,44254,45181,46243,3536,78,2950,2872,3209,148,3061
48055,"Caldwell County, Texas",38105,38424,38699,39207,39728,40445,41161,3104,1204,3075,1871,1878,68,1810
48057,"Calhoun County, Texas",21327,21353,21573,21759,21805,21922,21965,584,540,1821,1281,29,202,-173
48059,"Callahan County, Texas",13519,13540,13516,13526,13523,13596,13820,276,-208,857,1065,504,37,467
48061,"Cameron County, Texas",407629,412937,415445,417260,419191,419893,422135,15916,30383,46081,15698,-14858,3191,-18049
48063,"Camp County, Texas",12414,12409,12467,12440,12659,12721,12867,466,321,1195,874,193,286,-93
48065,"Carson County, Texas",6164,6268,6109,5981,6015,5972,6057,-125,-14,380,394,-70,12,-82
48067,"Cass County, Texas",30429,30505,30205,30413,30351,30387,30375,-89,-275,2244,2519,45,105,-60
48069,"Castro County, Texas",8110,8053,8187,8027,7816,7678,7669,-393,441,786,345,-836,199,-1035
48071,"Chambers County, Texas",35428,35625,36408,37221,38063,38768,39899,4800,1353,2982,1629,3403,100,3303
48073,"Cherokee County, Texas",50915,51013,51200,50981,51007,51431,51668,834,1579,4749,3170,-648,62,-710
48075,"Childress County, Texas",7062,7017,7089,7046,7059,7050,7052,11,59,473,414,-27,3,-30
48077,"Clay County, Texas",10733,10679,10513,10449,10356,10324,10193,-559,-187,538,725,-340,32,-372
48079,"Cochran County, Texas",3138,3074,3021,3000,2925,2945,2882,-245,138,290,152,-390,50,-440
48081,"Coke County, Texas",3320,3280,3218,3196,3232,3230,3264,-55,-126,182,308,95,2,93
48083,"Coleman County, Texas",8878,8762,8677,8534,8417,8333,8420,-475,-252,543,795,-215,30,-245
48085,"Collin County, Texas",788741,814607,837229,858098,885175,913079,939585,157126,43778,66672,22894,110713,22744,87969
48087,"Collingsworth County, Texas",3055,3094,3022,3096,3008,3019,3016,-41,14,249,235,-52,25,-77
48089,"Colorado County, Texas",20883,20789,20684,20706,20669,20880,21019,145,-64,1592,1656,164,238,-74
48091,"Comal County, Texas",109294,112047,115005,118776,123487,129113,134788,26317,2359,8748,6389,23153,598,22555
48093,"Comanche County, Texas",13950,13871,13705,13539,13436,13365,13484,-477,-97,968,1065,-380,3,-383
48095,"Concho County, Texas",4097,4137,4073,4119,4085,4155,4279,192,-26,163,189,217,212,5
48097,"Cooke County, Texas",38456,38408,38771,38502,38739,39110,39266,829,842,3356,2514,34,214,-180
48099,"Coryell County, Texas",75589,76593,76837,76116,75442,75471,74686,-702,3761,6425,2664,-4651,2866,-7517
48101,"Cottle County, Texas",1506,1511,1485,1448,1432,1431,1402,-103,-51,97,148,-49,0,-49
48103,"Crane County, Texas",4381,4365,4562,4756,4928,5039,4830,455,241,467,226,205,29,176
48105,"Crockett County, Texas",3709,3671,3717,3763,3796,3742,3675,-44,142,347,205,-170,42,-212
48107,"Crosby County, Texas",6042,6089,6097,5978,5883,5985,5992,-64,68,502,434,-124,9,-133
48109,"Culberson County, Texas",2399,2379,2309,2295,2260,2233,2198,-200,92,180,88,-294,11,-305
48111,"Dallam County, Texas",6742,6831,6978,7022,7096,7107,7056,356,618,865,247,-273,172,-445
48113,"Dallas County, Texas",2372450,2407305,2452421,2479810,2512281,2545775,2574984,208312,150714,245482,94768,61704,65895,-4191
48115,"Dawson County, Texas",13836,13785,13647,13254,13500,13075,13111,-722,289,1148,859,-1049,97,-1146
48117,"Deaf Smith County, Texas",19445,19475,19327,19136,19096,18807,18830,-542,1207,2115,908,-1733,182,-1915
48119,"Delta County, Texas",5238,5202,5301,5188,5213,5215,5215,-16,-84,389,473,46,2,44
48121,"Denton County, Texas",666736,685376,707475,728282,752820,778491,806180,143793,40247,59887,19640,101158,13811,87347
48123,"DeWitt County, Texas",20057,20320,20478,20495,20674,20786,20865,768,64,1626,1562,669,18,651
