GEO.id2,GEO.display-label,respop72010,respop72011,respop72012,respop72013,respop72014,respop72015,respop72016,percent
48209,"Hays County, Texas",158241,163209,168408,176029,184951,194574,204470,29.21
48259,"Kendall County, Texas",33651,34525,35766,37461,38830,40452,42540,26.42
48157,"Fort Bend County, Texas",590433,606962,625796,653252,684646,713849,741237,25.54
48491,"Williamson County, Texas",426415,442278,456352,470822,489143,508059,528718,23.99
48091,"Comal County, Texas",109294,112047,115005,118776,123487,129113,134788,23.33
48339,"Montgomery County, Texas",459319,471591,484674,498951,517985,536434,556203,21.09
48121,"Denton County, Texas",666736,685376,707475,728282,752820,778491,806180,20.91
48003,"Andrews County, Texas",14835,15390,16107,16776,17405,18026,17760,19.72
48085,"Collin County, Texas",788741,814607,837229,858098,885175,913079,939585,19.12
48397,"Rockwall County, Texas",78934,81086,82871,85033,87494,90672,93978,19.06
